release_date,required_age,price,windows,mac,linux,achievements,recommendations,developers,publishers,categories,genres,average_playtime_forever,average_playtime_2weeks,median_playtime_forever,median_playtime_2weeks,absolute_score,success_class
2018-08-08,0,29.99,True,False,False,100,296655,"['CAPCOM Co., Ltd.']","['CAPCOM Co., Ltd.']","['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Remote Play on Tablet', 'HDR available', 'Family Sharing']",Action,8934,235,2747,79,368668,alto_successo
2022-06-20,0,19.99,True,False,False,104,289286,['Redbeet Interactive'],['Axolot Games'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']",Adventure Indie Simulation,0,0,0,0,294204,alto_successo
2015-05-29,0,24.99,True,False,False,5,283173,['BeamNG'],['BeamNG'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Includes level editor', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play Together', 'Family Sharing']",Racing Simulation EarlyAccess,0,0,0,0,291235,alto_successo
2018-01-23,0,29.99,True,True,False,17,276733,['Unknown Worlds Entertainment'],['Unknown Worlds Entertainment'],"['Single-player', 'Steam Achievements', 'Full controller support', 'VR Supported', 'Steam Trading Cards', 'VR Support', 'Steam Cloud', 'Remote Play on TV', 'Family Sharing']",Adventure Indie,2308,0,1565,0,288415,alto_successo
2021-08-11,0,0.0,True,False,False,40,194325,['24 Entertainment'],['NetEase Games Global'],"['Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Partial Controller Support', 'HDR available']",Action Adventure MassivelyMultiplayer,0,0,0,0,128519,alto_successo
2020-05-13,0,29.99,True,False,False,69,267497,['Ghost Ship Games'],['Coffee Stain Publishing'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",Action,3093,257,808,178,316916,alto_successo
2016-08-12,0,59.99,True,True,False,27,262068,['Hello Games'],['Hello Games'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Tracked Controller Support', 'VR Supported', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Tablet', 'Remote Play on TV', 'HDR available', 'Family Sharing']",Action Adventure,0,0,0,0,228133,alto_successo
2019-07-23,0,9.99,True,False,False,17,257989,['mestiez'],['Studio Minus'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Family Sharing']",Action Casual Indie Simulation,3068,20,735,25,267282,alto_successo
2016-04-11,17,59.99,True,False,False,43,258226,"['FromSoftware, Inc.']","['FromSoftware, Inc.', 'Bandai Namco Entertainment']","['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",Action,14198,4909,1763,1455,360344,alto_successo
2015-11-09,17,19.99,True,False,False,84,258146,['Bethesda Game Studios'],['Bethesda Softworks'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",RPG,7468,759,1928,1137,255796,alto_successo
2020-09-17,0,24.99,True,True,False,49,255416,['Supergiant Games'],['Supergiant Games'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",Action Indie RPG,2538,270,1336,365,266960,alto_successo
2016-10-20,0,59.99,True,True,True,320,250732,"['Firaxis Games', 'Aspyr (Mac)', 'Aspyr (Linux)']","['2K', 'Aspyr (Mac)', 'Aspyr (Linux)']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Steam Turn Notifications', 'Remote Play on Tablet', 'Remote Play Together', 'Family Sharing']",Strategy,0,0,0,0,253964,alto_successo
2024-07-25,0,29.24,True,True,True,43,248708,['The Fun Pimps'],['The Fun Pimps Entertainment LLC'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Includes level editor', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",Action Adventure Indie RPG Simulation Strategy,6457,1358,1633,861,280824,alto_successo
